month,new_convention_files,cumulative_convention_files
2023-03-01,4,4
2024-11-01,1,5
2024-12-01,1,6
2025-06-01,8,14
2025-07-01,5,19
2025-08-01,11,30
2025-09-01,17,47
2025-10-01,7,54
2025-11-01,17,71
2025-12-01,15,86
2026-01-01,28,114
2026-02-01,49,163
2026-03-01,56,219
2026-04-01,28,247
2026-05-01,26,273
2026-06-01,26,299
2026-07-01,3,302
