repo_id,repo_url,owner,name,source,stars,language,pushed_at,selection_stratum,notes
508ea0cfd549d6b8,https://github.com/continuedev/continue,continuedev,continue,pilot_repos.csv,28000,TypeScript,2025-06-15T00:00:00,pilot_ai_adopter,legacy seeds.txt
e916d975160d16b9,https://github.com/pydantic/pydantic-ai,pydantic,pydantic-ai,pilot_repos.csv,12000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
c5a32632e586ab2c,https://github.com/langchain-ai/langchain,langchain-ai,langchain,pilot_repos.csv,110000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
956a087a689baeee,https://github.com/all-hands-ai/openhands,all-hands-ai,openhands,pilot_repos.csv,60000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
13d96f6971fff698,https://github.com/anthropics/claude-code,anthropics,claude-code,pilot_repos.csv,15000,TypeScript,2025-06-15T00:00:00,pilot_ai_adopter,
4801516ff573cf43,https://github.com/dagster-io/dagster,dagster-io,dagster,pilot_repos.csv,13000,Python,2025-06-15T00:00:00,pilot_ai_adopter,known CLAUDE.md example in legacy paper
cb8f252ccaaf10b0,https://github.com/modelcontextprotocol/servers,modelcontextprotocol,servers,pilot_repos.csv,7000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
ce4e58553bea6313,https://github.com/aider-ai/aider,aider-ai,aider,pilot_repos.csv,25000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
7c94eb734f17ebfc,https://github.com/open-webui/open-webui,open-webui,open-webui,pilot_repos.csv,90000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
40c2c54a4c6490e8,https://github.com/astral-sh/ruff,astral-sh,ruff,pilot_repos.csv,40000,Rust,2025-06-15T00:00:00,pilot_general_oss,legacy seeds_stratified
68507e79e06cd903,https://github.com/django/django,django,django,pilot_repos.csv,83000,Python,2025-06-15T00:00:00,pilot_general_oss,
b1d570d7f42dbfff,https://github.com/tiangolo/fastapi,tiangolo,fastapi,pilot_repos.csv,86000,Python,2025-06-15T00:00:00,pilot_general_oss,
dcb792d718508bec,https://github.com/vercel/next.js,vercel,next.js,pilot_repos.csv,130000,JavaScript,2025-06-15T00:00:00,pilot_general_oss,
0d8bce7e29a5cd98,https://github.com/microsoft/vscode,microsoft,vscode,pilot_repos.csv,170000,TypeScript,2025-06-15T00:00:00,pilot_general_oss,
79e5b3dcaadc644e,https://github.com/prefecthq/prefect,prefecthq,prefect,pilot_repos.csv,22646,Python,2025-06-15T00:00:00,pilot_ai_adopter,
ef64a947957b8d7f,https://github.com/crewaiinc/crewai,crewaiinc,crewai,pilot_repos.csv,30000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
97dcab4759c83fdb,https://github.com/langgenius/dify,langgenius,dify,pilot_repos.csv,60000,Python,2025-06-15T00:00:00,pilot_ai_adopter,
ccefb3517bf78962,https://github.com/0-ai-ug/cate,0-ai-ug,cate,vsdlc_eligible,1662,TypeScript,2026-06-18T20:26:46,vsdlc_prompts_stars_medium,*.prompt.md
b6094e7293d972e7,https://github.com/0niel/university-app,0niel,university-app,vsdlc_eligible,246,Dart,2026-06-18T18:08:04,vsdlc_cursor_rules_stars_small,.cursor/rules
65ab251ffebbdf35,https://github.com/0xdpfly/gin-app-start,0xdpfly,gin-app-start,vsdlc_eligible,37,Go,2025-11-20T06:43:57,vsdlc_cursor_rules_stars_small,.cursor/rules
93c48a24db18db0c,https://github.com/0xn0rmxl/bugbountyskills,0xn0rmxl,bugbountyskills,vsdlc_eligible,19,Markdown,2026-04-25T15:55:30,vsdlc_prompts_stars_small,system_prompt.*
8a674fb1b83eb012,https://github.com/1amageek/swiftagent,1amageek,swiftagent,vsdlc_eligible,89,Swift,2026-05-01T06:32:51,vsdlc_claude_md_stars_small,CLAUDE.md
2a7f0fddd2dac162,https://github.com/1jehuang/jcode,1jehuang,jcode,vsdlc_eligible,7179,Rust,2026-06-18T20:33:04,vsdlc_prompts_stars_large,system_prompt.*
29ffadc06ef6c6fb,https://github.com/1password/scam,1password,scam,vsdlc_eligible,130,Python,2026-02-12T13:56:08,vsdlc_agents_md_stars_small,AGENTS.md
157b059bdfd44153,https://github.com/2030ai/2030ai-claudecode-allecosystem-sync,2030ai,2030ai-claudecode-allecosystem-sync,vsdlc_eligible,10,Python,2026-05-25T18:01:43,vsdlc_prompts_stars_small,*.prompt.md
fc86667382b4e716,https://github.com/26d0/vrchat-ime-chat,26d0,vrchat-ime-chat,vsdlc_eligible,19,TypeScript,2025-08-29T08:35:50,vsdlc_other_stars_small,.clinerules
a707f142336c2957,https://github.com/3mfconsortium/gladius,3mfconsortium,gladius,vsdlc_eligible,52,C++,2026-05-30T07:10:31,vsdlc_other_stars_small,.github/chatmodes
03ff95638105b96a,https://github.com/567-labs/instructor,567-labs,instructor,vsdlc_eligible,13190,Python,2026-06-15T05:05:32,vsdlc_cursor_rules_stars_large,.cursor/rules;GEMINI.md
3986c65660655800,https://github.com/9mtm/agent-player,9mtm,agent-player,vsdlc_eligible,11,TypeScript,2026-03-21T15:58:44,vsdlc_prompts_stars_small,system-prompt.*
ecf138835b195b4c,https://github.com/activeinferenceinstitute/geo-infer,activeinferenceinstitute,geo-infer,vsdlc_eligible,11,HTML,2026-06-16T12:28:32,vsdlc_agents_md_stars_small,.cursorrules;AGENTS.md
c80f9fe166839d30,https://github.com/affitor/affiliate-skills,affitor,affiliate-skills,vsdlc_eligible,474,HTML,2026-06-14T02:06:49,vsdlc_other_stars_small,.cursorrules
8af09eab1011a5f6,https://github.com/ageniti/ageniti,ageniti,ageniti,vsdlc_eligible,30,JavaScript,2026-06-10T15:51:43,vsdlc_agents_md_stars_small,AGENTS.md
