metric,value,pct_of_cohort
count_extraction_artifact,2235,12.594
count_template_placeholder,1926,10.853
count_normative_prescriptive,5836,32.884
count_pre_observation_evolution,876,4.936
count_external_reference,33,0.186
count_verification_anchor_mismatch,5301,29.87
count_genuine_false_claim,1405,7.917
count_unresolved_disagreement,135,0.761
adjudication_deterministic_high,8579,48.341
adjudication_deterministic_medium,7628,42.982
adjudication_llm_agreement,1405,7.917
adjudication_llm_disagreement,135,0.761
cohort_total,17747,100.0
