month,new_convention_files,cumulative_convention_files
2023-03-01,4,4
2023-05-01,1,5
2023-11-01,160,165
2023-12-01,169,334
2024-01-01,197,531
2024-02-01,667,1198
2024-03-01,63,1261
2024-04-01,1,1262
2024-05-01,1,1263
2024-06-01,2,1265
2024-07-01,5,1270
2024-08-01,7,1277
2024-09-01,3,1280
2024-10-01,6,1286
2024-11-01,3,1289
2024-12-01,3,1292
2025-01-01,1,1293
2025-02-01,15,1308
2025-03-01,20,1328
2025-04-01,25,1353
2025-05-01,12,1365
2025-06-01,29,1394
2025-07-01,46,1440
2025-08-01,34,1474
2025-09-01,34,1508
2025-10-01,23,1531
2025-11-01,29,1560
2025-12-01,61,1621
2026-01-01,94,1715
2026-02-01,181,1896
2026-03-01,386,2282
2026-04-01,127,2409
2026-05-01,193,2602
2026-06-01,636,3238
2026-07-01,15,3253
